 sen rec ret cir top tok mess rush sil s_m s_n er
56 2379504.0 5110412.0 7734448.5 5343565.5 29.0 22.0 1000.0 False True 10.0 10.0 False
57 493750.5 2506678.5 4074496.5 3370797.5 23.0 23.0 1000.0 False True 10.0 10.0 False
58 1549076.0 3548841.5 5500192.0 3995960.0 25.0 23.0 1000.0 False True 10.0 10.0 False
59 1171345.0 3869679.0 6139188.0 4740267.0 27.0 23.0 1000.0 False True 10.0 10.0 False
60 1793386.0 4769718.0 7401118.0 5465831.0 29.0 23.0 1000.0 False True 10.0 10.0 False
61 1427033.0 3652589.5 5574042.0 4132060.0 25.0 24.0 1000.0 False True 10.0 10.0 False
62 1405837.5 4075388.5 6250075.5 4819249.0 27.0 24.0 1000.0 False True 10.0 10.0 False
63 802985.0 1980578.0 3059777.0 2197221.0 19.0 13.0 1000.0 False True 10.0 10.0 False
64 1183839.0 3302079.0 5288233.0 4049954.0 25.0 25.0 1000.0 False True 10.0 10.0 False
65 2356300.0 5170429.5 7916509.0 5496398.5 29.0 24.0 1000.0 False True 10.0 10.0 False
66 1127615.0 4110195.0 6654133.5 5237140.5 27.0 25.0 1000.0 False True 10.0 10.0 False
67 1612217.0 4919427.0 7995937.5 6014244.5 29.0 25.0 1000.0 False True 10.0 10.0 False
68 803208.0 4140315.5 6752750.0 5596577.0 27.0 26.0 1000.0 False True 10.0 10.0 False
69 1773974.0 4615100.5 7022939.5 5233125.0 29.0 26.0 1000.0 False True 10.0 10.0 False
70 1935508.0 4779981.0 7712806.5 5669088.0 27.0 27.0 1000.0 False True 10.0 10.0 False
71 1518286.5 4662623.0 7902899.5 6203890.5 29.0 27.0 1000.0 False True 10.0 10.0 False
72 1739392.0 4524293.0 7347793.5 5530534.5 29.0 28.0 1000.0 False True 10.0 10.0 False
73 1030338.0 4160172.0 6803843.0 5435042.0 29.0 29.0 1000.0 False True 10.0 10.0 False
74 1367239.0 2704581.0 4082975.0 2710828.0 21.0 13.0 1000.0 False True 10.0 10.0 False
75 1838900.5 3684940.5 5156819.5 3239383.5 23.0 13.0 1000.0 False True 10.0 10.0 False
76 2346930.0 4519608.0 6266586.0 3717292.5 25.0 13.0 1000.0 False True 10.0 10.0 False
77 3612205.5 6223747.5 8270367.5 4347364.0 27.0 13.0 1000.0 False True 10.0 10.0 False
78 12832143.5 15140251.0 17547867.5 4848031.0 29.0 13.0 1000.0 False True 10.0 10.0 False
79 203480.0 946893.0 1612217.0 1362776.5 15.0 14.0 1000.0 False True 10.0 10.0 False
80 423246.0 1342696.5 2239166.0 1685621.5 17.0 14.0 1000.0 False True 10.0 10.0 False
81 823065.0 1984593.5 3145006.0 2273080.0 19.0 14.0 1000.0 False True 10.0 10.0 False
82 1069159.5 2413641.0 3674900.5 2612211.0 21.0 14.0 1000.0 False True 10.0 10.0 False
83 1498875.5 3118679.0 4794260.0 3208371.0 23.0 14.0 1000.0 False True 10.0 10.0 False
84 3963387.0 4015817.5 4061556.0 92369.0 3.0 2.0 1000.0 True True 10.0 10.0 False
85 20518399.0 20669670.0 20883413.0 309235.0 5.0 2.0 1000.0 True True 10.0 10.0 False
86 58260259.5 58569272.0 58961282.0 666217.0 7.0 2.0 1000.0 True True 10.0 10.0 False
87 135359991.5 136090464.0 136707596.0 1300304.5 9.0 2.0 1000.0 True True 10.0 10.0 False
88 233441528.5 234292259.5 235246739.0 1861658.0 11.0 2.0 1000.0 True True 10.0 10.0 False
89 363729037.0 364953036.5 366460614.0 2580083.5 13.0 2.0 1000.0 True True 10.0 10.0 False
